product_title,product_vendor,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,total_cost,gross_profit
Pomatomaster Sticker Sheet,Monoyoki (Collab) Pomatomaster,Sticker,1,9.000,0.000,0.000,9.000,0.540,9.540,1.500,7.500
Pomato Mission Tee (Grayscale),Pomatomaster (Commercial),,2,60.000,0.000,0.000,60.000,0.000,60.000,30.380,29.620
Pomatomaster Standee,Shinku (Collab) Pomatomaster,Standee,2,36.000,0.000,0.000,36.000,1.080,37.080,16.000,20.000
Hunii Daki Cover 2.0,Pomme (Collab) Hunibun,dakimakura cover,1,69.990,0.000,0.000,69.990,0.000,69.990,20.000,49.990
Arky Daki Cover,Kekkitoz (Collab) Arky,,1,69.990,0.000,0.000,69.990,0.000,69.990,20.000,49.990
Pomatomaster Charm,Veune (Collab) Pomatomaster,Acrylic Charm,1,12.000,0.000,0.000,12.000,0.000,12.000,3.500,8.500
Cyana Gacha Sticker,P.M. Seymour (Original),Sticker,1,5.000,0.000,0.000,5.000,0.000,5.000,1.500,3.500
"""Be Yourself"" Lil Sui Sticker",suikaart (original),Sticker,1,5.000,0.000,0.000,5.000,0.000,5.000,1.500,3.500
Lina Standee,CutiexCoffin (Commercial),Standee,1,18.000,0.000,0.000,18.000,0.000,18.000,9.000,9.000
Digi Stickers,Digi (Commercial),Sticker Bundle,1,9.000,0.000,0.000,9.000,0.000,9.000,3.000,6.000
Pomatomaster Sticker,Veune (Collab) Pomatomaster,Sticker,1,5.000,0.000,0.000,5.000,0.300,5.300,1.500,3.500
Eat Cheese and Sin Tee,BobberWCC (Original),,1,32.000,0.000,0.000,32.000,0.000,32.000,13.990,18.010
Cherry on Top Sticker,suikaart (Original),,1,5.000,0.000,0.000,5.000,0.000,5.000,2.200,2.800
Digi Model Standee,Digi (Commercial),Standee,1,18.000,0.000,0.000,18.000,0.000,18.000,9.000,9.000
Maple Chicken Body Pillow,Beanni (Collab) Maple Chicken,dakimakura cover,1,69.990,0.000,0.000,69.990,0.000,69.990,20.000,49.990
Kaiyo 3D Mousepad,Kaiyo (Commercial),3D Mousepad,1,30.000,0.000,0.000,30.000,0.000,30.000,15.000,15.000
Digi Charms,Digi (Commercial),Acrylic Charm,1,22.000,0.000,0.000,22.000,0.000,22.000,7.000,15.000
Eat Cheese and Sin Sticker,BobberWCC (Original),Sticker,3,15.000,0.000,0.000,15.000,0.000,15.000,4.500,10.500
Umbre Daki Cover,MythicDuo (Commercial),dakimakura cover,1,69.990,0.000,0.000,69.990,0.000,69.990,20.000,49.990
Kaiyo Standee,BluMoon (Collab) Kaiyo,Standee,1,18.000,0.000,0.000,18.000,0.000,18.000,8.000,10.000
